,Cidade,País,Curso,Empresa dos sonhos,Educação,Nível de inglês,Nível de excel,Cursos extras,Gênero,Interesses,Outras línguas,Referência,Universidade,Estado,Situação
880,,,engenharia de produção,jp morgan,graduação,,,,feminino,"mercado financeiro (banco de investimentos), gestao empresarial",,amigos,unicamp,,confirmed
881,,brasil,enfermagem,natura,graduação,intermediate,intermediate,,feminino,saude e estetica,,amigo,unicamp,,checkedin
882,valinhos,brasil,direito,,graduação,advanced,basic,,feminino,ambiental e social,"espanhol, alemão",amigo,universidade presbiteriana mackenzie,são paulo,confirmed
883,campinas,brasil,programa de formação interdisciplinar superior - profis,,graduação,basic,basic,,masculino,financeiro,,amiga.,unicamp,são paulo,confirmed
884,são paulo,brasil,engenharia química,iff,graduação,advanced,advanced,,masculino,"consultoria, p&d, rh, comercial, vendas, parcerias, inovação",espanhol intermediário e alemão básico,facebook,unicamp,são paulo,confirmed
885,paulínia,brasil,serviço social,funcionaria publica,graduação,,intermediate,,feminino,assistente social,,amigo,puccamp,são paulo,confirmed
886,campinas,brasil,engenharia de controle e automação,,graduação,advanced,advanced,,masculino,"tecnologia, financeiro, consultoria, gestão",espanhol,facebook,unicamp,são paulo,checkedin
887,campinas,brasil,estatística,,graduação,advanced,intermediate,"curso de inteligência emocional; curso de gestão, liderança e desenvolvimento de equipes; programação em r (datacamp)",feminino,"financeiro, riscos, consultoria, gestão",mandarim básico,facebook,unicamp,são paulo,checkedin
888,são paulo,brasil,engenharia de produção,unilever,graduação,advanced,intermediate,,feminino,"comsultoria, bens de consumo, mercado financeiro.","alemão acançado, espanhol básico.",facebook,unicamp,são paulo,confirmed
889,paulínia,brasil,,international business machines - ibm,ensino médio,advanced,intermediate,"inglês, pacote office e téc em ti",masculino,estágio em ti.,,escola.,,são paulo,confirmed
890,são paulo,brasil,engenharia mecânica,,graduação,advanced,intermediate,,masculino,"consultoria, financeiro",,facebook,unicamp,são paulo,checkedin
891,paulínia,brasil,engenharia química,,graduação,advanced,intermediate,yellow belt,feminino,"indústria, corporativo",,facebook,unicamp,são paulo,confirmed
892,campinas,brasil,engenharia de alimentos,raízen,mestrado,advanced,advanced,"workshop biotecnologia, cad senai, curso de leite e derivados e pmbok",feminino,"p&d, produção e engenharia",espanhol intermediário,universidade,unicamp,são paulo,checkedin
893,santana de parnaíba,brasil,engenharia química,,graduação,,,,masculino,"financeiro, gestão",,amigo,unicamp,são paulo,checkedin
894,louveira,brasil,ciências econômicas,blizzard,graduação,advanced,intermediate,graduando em ciências econômicas; técnico em administração de empresas; criação de startups – inova paula souza; curso educar máster – bm&bovespa; informática básica (internet & pacote office) – macpoli; curso profissionalizante de inglês (avançado) – macpoli; certificado em aprendizagem e serviços administrativos – juventude cívica poaense (jucip).,masculino,educacional; entretenimento.,,amigo,puccamp,são paulo,checkedin
895,campinas,brasil,engenharia química,"petrobras, visagio, ultrapar,",doutorado,advanced,advanced,"coursera, labx, workshops, inglês sem fronteira",masculino,"consultoria, financeiro, pesquisa","alemão, espanhol e básico de mandarim",unicamp,unicamp,são paulo,confirmed
896,campinas,brasil,engenharia de petróleo,petrobrás ou qualquer outra empresa que me dê um estágio.,graduação,basic,intermediate,"curso de computação (word, exel, windows, powerpoint e digitação).",feminino,na área de engenharia.,,amigo do facebook,unip,são paulo,checkedin
897,campinas,brasil,engenharia de alimentos,bauducco,graduação,advanced,basic,,masculino,áreas relacionadas a alimentos,,amigos,unicamp,são paulo,checkedin
898,campinas,brasil,engenharia de alimentos,unilever,graduação,intermediate,intermediate,"inglês, excel, oratória",feminino,"p&d, logistica, formulação e avaliação de projeto e produção",,facebook,unicamp,são paulo,checkedin
899,são paulo,brasil,engenharia agrícola,caterpillar,graduação,advanced,advanced,"robótica industrial, integrador de energia fotovoltaica, operação de máquinas agrícolas",masculino,corporativas,,facebook,unicamp,são paulo,checkedin
900,campinas,brasil,analise e desenvolvimento de sistemas,itau,graduação,basic,basic,nanodegree da udacity de fundamentos de data science,masculino,data science e machine learning,,faculdade,ifsp - campinas,são paulo,checkedin
901,,,engenharia de controle e automação,,graduação,,,,masculino,"engenharia, consultoria, empreendedorismo",,facebook,unicamp,,checkedin
902,,,ciências biológicas,,graduação,,,,masculino,"ambiental, ensino",,facebook,unicamp,,confirmed
903,paulínia,brasil,,google,ensino médio,basic,intermediate,micropro - design e games,masculino,tecnologia da informação,,escola,,são paulo,confirmed
904,sumaré,brasil,ciências biológicas,p&g,graduação,basic,basic,,feminino,pesquisa,,facebook,unicamp,são paulo,confirmed
905,,afeganistão,engenharia civil,,graduação,,,,feminino,pesquisa,,facebook,unicamp,,confirmed
906,,,engenharia civil,,graduação,,,,feminino,pesquisa,,facebook,unicamp,,confirmed
907,campinas,brasil,química,,graduação,advanced,basic,"desenvolvimento de produtos de bens de consumo, escola de separações, fundamentos e avanços em cromatografia líquida",masculino,"controle de qualidade, pesquisa e desenvolvimento",,e-mail,unicamp,são paulo,checkedin
908,são paulo,brasil,engenharia de produção,"general eletric, ambev e embraer",graduação,advanced,intermediate,,masculino,"financeiro, logística e consultoria",espanhol intermediário,amigos,unicamp,são paulo,confirmed
909,campinas,brasil,engenharia de controle e automação,"ci&t, itau, isistems",,advanced,intermediate,,masculino,"controle, tratamento de sinal, inteligência artificial",francês fluente,facebook,unicamp,são paulo,checkedin
910,campinas,brasil,tecnologia em análise e desenvolvimento de sistemas,ci&t,graduação,advanced,intermediate,automação com selenium java. semana de treinamento em java. certificação internacional em testes de software(ctfl - istqb),masculino,testes de software,,unicamp,unicamp,são paulo,confirmed
911,campinas,brasil,,johnson & johnson,ensino fundamental,intermediate,intermediate,,feminino,p&d,,e-mail,,são paulo,confirmed
912,campinas,brasil,estatística,microsoft,graduação,advanced,intermediate,,feminino,"consultoria, análise de mercado, riscos, pesquisa",espanhol básico,"facebook, e-mail",unicamp,são paulo,checkedin
913,campinas,brasil,química,,graduação,intermediate,basic,técnico em química. treinamento básico de cromatografia líquida de alta eficiência (hplc),masculino,pesquisa e desenvolvimento,,amigos,unicamp,são paulo,checkedin
914,campinas,brasil,ciências biológicas,,graduação,,,,feminino,pesquisa,,amigos,unicamp,são paulo,confirmed
915,campinas,brasil,química,,graduação,intermediate,intermediate,,feminino,"pesquisa e desenvolvimento, controle de qualidade",,amigos,unicamp,são paulo,checkedin
916,santa bárbara d'oeste,brasil,química,kimberly-clark,graduação,intermediate,,,feminino,p&d,,facebook,unicamp,são paulo,checkedin
917,campinas,brasil,psicologia,,graduação,advanced,intermediate,,masculino,"administrativo, rh",espanhol básico,namorada,unisal,são paulo,checkedin
918,campinas,brasil,física,cnpem,ensino fundamental,intermediate,basic,,feminino,pesquisa,,vendo as montagens,unicamp,são paulo,confirmed
919,campinas,brasil,fonoaudiologia,,graduação,intermediate,basic,,feminino,saúde,,todo ano eu vou,puccamp,são paulo,checkedin
920,,,geologia,,graduação,,,,feminino,pesquisa,,facebook,unicamp,,checkedin
921,campinas,brasil,administração,itaú,graduação,intermediate,intermediate,tec. em contabilidade,masculino,administrativo,,amigos,puccamp,são paulo,confirmed
922,limeira,brasil,engenharia de telecomunicações,,graduação,intermediate,intermediate,,masculino,telecomunicações,,amigos,unicamp,são paulo,confirmed
923,são josé dos campos,brasil,engenharia civil,odebrecht,ensino fundamental,advanced,advanced,,masculino,"construção civil, consultoria, financeiro",espanhol intermediário,amigo,unicamp,são paulo,checkedin
924,campinas,brasil,história,,graduação,,,,feminino,setor empresarial,,amigos,unicamp,são paulo,checkedin
925,,,,,ensino médio,,,,masculino,consultoria e engenharia,,amigo,,,checkedin
926,campinas,brasil,engenharia civil,,,intermediate,intermediate,,feminino,"construção civil, meio ambiente, saneamento, sustentabilidade",,facebook,puccamp,são paulo,checkedin
927,campinas,brasil,engenharia mecânica,,graduação,advanced,intermediate,,masculino,consultoria,,amigos,unicamp,são paulo,confirmed
928,campinas,brasil,farmácia,,graduação,advanced,basic,,feminino,"pesquisa, indústria farmacêutica, laboratórios de farmácia e biologia, cosméticos",,amigo e facebook,unicamp,são paulo,checkedin
929,campinas,brasil,engenharia mecânica,ge,graduação,advanced,advanced,,masculino,"engenharia do produto, finanças",,facebook,unicamp,são paulo,checkedin
930,campinas,brasil,engenharia civil,camargo corrêa,graduação,intermediate,advanced,"excel, business modeling, vba e automação em excel na btc.",masculino,"gestão de empreendimentos, projetos e construção",,amigo,unicamp,são paulo,checkedin
931,são paulo,brasil,engenharia química,saint-gobain,,advanced,advanced,,masculino,"engenharia, supply chain, controle","francês fluente, espanhol intermediário",unicamp,unicamp,são paulo,checkedin
932,são paulo,brasil,engenharia mecânica,,graduação,advanced,,,feminino,"financeiro, emprendedorismo, startup.",,facebook,unicamp,são paulo,checkedin
933,campinas,brasil,tecnologo em automação industrial,,graduação,intermediate,advanced,"""negociações de sucesso: estratégias e habilidades essenciais."" desenvolvido pela universidade de michigan e apresentado pela plataforma coursera. concluído em abril de 2018.",masculino,"funções que envolvam automação, administração, compras ou programação.",,email da faculdade,inatel,são paulo,checkedin
934,itatiba,brasil,engenharia elétrica,general eletric,graduação,advanced,intermediate,técnico em eletromecânica,masculino,tecnologia,,facebook,unicamp,são paulo,checkedin
935,piracicaba,brasil,engenharia civil,,graduação,advanced,intermediate,,masculino,"escritórios de cálculo estrutural,",conhecimento básico de programação,amigo,unicamp,são paulo,checkedin
936,sumaré,brasil,fonoaudiologia,,graduação,intermediate,intermediate,,feminino,saúde e gestão,espanhol (iniciante),facebook,unicamp,são paulo,confirmed
937,,,programa de formação interdisciplinar superior - profis,,graduação,,,,feminino,biológicas,,facebook,unicamp,,checkedin
938,,,engenharia química,,graduação,,,,feminino,"produção, consultoria, pesquisa",,facebook,unicamp,,checkedin
939,limeira,brasil,engenharia de produção,toyota,graduação,advanced,intermediate,excel e lean manufacturing,feminino,"financeiro, indústria",espanhol básico,facebook,unicamp,são paulo,confirmed
940,são paulo,brasil,engenharia civil,itau bba,graduação,advanced,advanced,curso de pdca,masculino,financeiro,espanhol básico,email,unicamp,são paulo,checkedin
941,campinas,brasil,estatística,itaú,graduação,intermediate,intermediate,,feminino,"modelagem, consultoria, financeiro",,facebook,unicamp,são paulo,checkedin
942,,,,,ensino médio,,,,feminino,ti,,escola,,,checkedin
943,cotia,brasil,química,,graduação,intermediate,advanced,,masculino,pesquisa,"inglês, alemão, francês, mandarim.",amigo,unicamp,são paulo,confirmed
944,,,redes de computadores,,graduação,,,,feminino,tecnologias,,amigo,ipep,,checkedin
945,paulínia,brasil,,"nasa, virgin galactic, space x, ou empresas com alta tecnologia",ensino médio,basic,intermediate,,masculino,"astronomia, física, economia, investimento, pesquisas  para novas ferramentas/tecnologias",,escola,,são paulo,checkedin
946,,,engenharia elétrica,mckinsey & company,graduação,advanced,advanced,,masculino,consultoria e mercado financeiro,,facebook,unicamp,,checkedin
947,campinas,brasil,engenharia mecânica,mckinsey,graduação,advanced,advanced,,masculino,"consultoria, indústria e mercado financeiro",,amigos,unicamp,são paulo,checkedin
948,campinas,brasil,analise e desenvolvimento de sistemas,,graduação,basic,basic,técnico em eletrônica,masculino,"tecnologia, produção",,amigo,faculdade anhanguera - campinas,são paulo,confirmed
949,jundiaí,brasil,matemática aplicada e computacional,,graduação,,,,feminino,financeiro,,facebook,unicamp,são paulo,checkedin
950,cosmópolis,brasil,engenharia de manufatura,empresa no ramo de mineração ou equipamentos,graduação,intermediate,basic,gemologia,feminino,"pesquisa, planejamento",,facebook,unifal,são paulo,checkedin
951,campinas,brasil,estatística,itaú unibanco,graduação,intermediate,intermediate,,feminino,"financeiro, tecnologia, modelagem",,facebook,unicamp,são paulo,checkedin
952,campinas,,engenharia elétrica,,,advanced,advanced,,masculino,"consultoria, industria",,amigo,unicamp,,checkedin
953,,,programa de formação interdisciplinar superior - profis,,graduação,,,,feminino,administrativo,,facebook,unicamp,,checkedin
954,campinas,brasil,engenharia de controle e automação,"google, eldorado, bosch, microsoft, honda.",graduação,intermediate,intermediate,,feminino,"pesquisa, qualidade, empreendedorismo, programação e desenvolvimento tecnológico,.",alemão intermediário e espanhol básico.,facebook,unicamp,são paulo,checkedin
955,,,programa de formação interdisciplinar superior - profis,,graduação,,,,masculino,pesquisa,,evento anterior,unicamp,,checkedin
956,campinas,brasil,engenharia de alimentos,tetra pak,graduação,advanced,advanced,"edx introduction to project management, excel avançado",masculino,"engenharia de processos, trainee industrial, gestão de projetos, trainee técnico",espanhol intermediário,facebook,unicamp,são paulo,checkedin
957,campinas,brasil,ciências biológicas,,graduação,advanced,basic,fiz diversos cursos. estão disponíveis no meu currículo lattes,feminino,"pesquisa, consultoria ambiental, indústria, laboratórios",espanhol básico,facebook,unesp,são paulo,confirmed
958,hortolândia,,engenharia de produção,multifuncional,graduação,basic,advanced,,feminino,correlatas,,amigo,pontifícia universidade católica de campinas,são paulo,confirmed
959,campinas,brasil,engenharia química,,graduação,intermediate,intermediate,,feminino,"química, qualidade, desenvolvimento",,facebook,universidade são francisco,são paulo,checkedin
960,,,química tecnológica,,graduação,,,,feminino,pesquisa,,facebook,unicamp,,checkedin
961,,brasil,,,ensino médio,intermediate,,,feminino,ti,,escola,,são paulo,checkedin
962,campinas,brasil,química,,mestrado,basic,intermediate,,feminino,pesquisa,,facebook,unicamp,são paulo,confirmed
963,,,engenharia de manufatura,bosch,graduação,,,,masculino,logística,,amigo,unicamp,,checkedin
964,campinas,brasil,engenharia química,johnson & johnson,graduação,advanced,intermediate,,feminino,qualidade,"espanhol avançado, alemão básico",amigo,unicamp,são paulo,confirmed
965,,brasil,estatística,,graduação,intermediate,basic,curso de inglês,feminino,"consultoria, financeiro, pesquisa...",japonês iniciante,facebook,unicamp,são paulo,checkedin
966,,,engenharia mecânica,,graduação,,,,feminino,indústria,,amigo,unicamp,,checkedin
967,jaú,brasil,engenharia de manufatura,,ensino fundamental,advanced,intermediate,"excel, greenbelt.",masculino,indústria,,amigo,unicamp,são paulo,checkedin
968,jaguariúna,brasil,geologia,,mestrado,advanced,advanced,,masculino,geologia,,facebook,unicamp,são paulo,checkedin
969,paulínia,brasil,engenharia do petróleo,petrobrás,graduação,intermediate,advanced,,feminino,"administrativo, pesquisas",,e-mail,unip,são paulo,confirmed
970,valinhos,brasil,estatística,,graduação,,,,feminino,pesquisa,,amigos,unicamp,são paulo,checkedin
971,paulínia,brasil,engenharia de alimentos,,graduação,basic,intermediate,técnico em biotecnologia,masculino,"produção, consultoria, pesquisa e desenvolvimento",,facebook,unicamp,são paulo,checkedin
972,,brasil,engenharia agrícola,,graduação,intermediate,intermediate,,masculino,"consultoria, gestão de processos, setor agrícola",,email,unicamp,são paulo,checkedin
973,santa bárbara d'oeste,brasil,arquitetura e urbanismo,,graduação,intermediate,intermediate,"autocad 2d, sketchup, lumion, photoshop",feminino,"arquitetura, design",,amigo,unimep,são paulo,confirmed
974,,afeganistão,engenharia mecânica,,graduação,,,,masculino,financeiro,,facebook,unicamp,,checkedin
975,poços de caldas,brasil,engenharia química,ambev,ensino fundamental,advanced,intermediate,"aprendizagem em vendas, auxiliar administrativo, introdução a financas,",feminino,"logística, qualidade, recursos",,divulgação em grupo da faculdade,unifal-mg,minas gerais,checkedin
976,,,farmácia,,graduação,,,,feminino,"pesquisa, desenvolvimento",,amiga,unicamp,,checkedin
977,campinas,brasil,farmácia,la roche posay,graduação,,,,feminino,desenvolvimento de produtos,,amigo,unicamp,são paulo,checkedin
978,são paulo,brasil,engenharia elétrica,itau e lnls,mestrado,intermediate,intermediate,"autocad, matlab e sql",feminino,"pesquisa, engenharia, analise de dados",,email institucional,unicamp,são paulo,checkedin
979,campinas,brasil,engenharia civil,raízen,graduação,advanced,advanced,,masculino,logística,,rmail,unicamp,são paulo,confirmed
980,campinas,brasil,engenharia química,,graduação,advanced,intermediate,"yellow belt, aspen plus, htfs",feminino,"engenharia química, engenharia de projetos, engenharia de processos",espanhol,universidade,unicamp,são paulo,checkedin
981,campinas,brasil,engenharia química,tetra pack,ensino fundamental,advanced,advanced,sistemas de gestão da qualidade,masculino,"processos, qualidade","francês, espanhol",unicamp,unicamp,são paulo,checkedin
982,campinas,brasil,estatística,,graduação,intermediate,intermediate,,feminino,pesquisa,espanhol intermediário,facebook,unicamp,são paulo,checkedin
983,paulínia,brasil,,unicamp,ensino médio,advanced,,t.i,feminino,"enfermagem, medicina",,escola,,são paulo,confirmed
984,são paulo,brasil,engenharia de computação,apple,graduação,advanced,intermediate,c# e orientação a objetos,masculino,desenvolvimento,japonês,facebook e amigos,unicamp,são paulo,checkedin
985,,,engenharia de computação,,graduação,,,,masculino,"pesquisa em desenvolvimento de software, hpc, arquitetura de computadores, desenvolvimento de software, nuvem",,amigo,unicamp,,confirmed
986,campinas,brasil,engenharia de computação,sap,,advanced,intermediate,,masculino,engenharia de software,,e-mail,unicamp,são paulo,confirmed
987,campinas,brasil,engenharia de computação,amazon,graduação,advanced,,,masculino,"desenvolvimento de software, desenvolvimento backend, chatbots",,lista de e-mails,unicamp,são paulo,confirmed
988,campinas,brasil,estatística,itaú,graduação,,,,feminino,consultoria e financeiro,,unicamp,unicamp,são paulo,checkedin
989,paulínia,brasil,,,ensino médio,basic,basic,técnico em informatica,feminino,tecnologia,,escola,,são paulo,checkedin
990,são paulo,brasil,engenharia agrícola,google,,advanced,intermediate,,feminino,tudo,,facebook,unicamp,são paulo,checkedin
991,são paulo,brasil,engenharia de computação,,graduação,intermediate,intermediate,,masculino,"engenharia, desenvolvimento de tecnologias embarcadas",,facebook,unicamp,são paulo,checkedin
992,campinas,brasil,estatística,itaú,,basic,intermediate,staff - talento - feira de recrutamento da unicamp ano: 2016 - 2017  minicurso de visualização e manipulação de dados em r ano 2015 - duração 2 horas  minicurso sas enterprise guide e sas enteprise miner: uma aplicação de mercado ano 2014 - duração 4 horas  curso introdução ao sas  ano: 2018 - duração 20 horas,feminino,financeira,,facebook,unicamp,são paulo,confirmed
993,sumaré,brasil,ciência da computação,,,intermediate,intermediate,,feminino,"desenvolvimento de sistemas computacionais, banco de dados e interação humano computador",,amigos,unicamp,são paulo,checkedin
994,campinas,brasil,programa de formação interdisciplinar superior - profis,,graduação,basic,basic,,feminino,pesquisa,,amigo,unicamp,são paulo,confirmed
995,campinas,brasil,engenharia de computação,google,graduação,advanced,advanced,"ios avançado movile next, apple developer academy",masculino,"bigdata, mobile, ios, development, design, arquitetura de software, machine learning, android, back-end, db",inglês,talento mesmo gente,unicamp,são paulo,checkedin
996,campinas,brasil,química tecnológica,,graduação,intermediate,intermediate,,feminino,"pesquisa, qualidade, desenvolvimento",,amigos,unicamp,são paulo,checkedin
997,são paulo,brasil,estatística,,ensino fundamental,intermediate,intermediate,,masculino,financeiro,,amigos e facebook,unicamp,são paulo,checkedin
998,limeira,brasil,engenharia ambiental,,graduação,advanced,intermediate,,masculino,tecnologia,,e-mail,unicamp,são paulo,checkedin
999,campinas,brasil,ciência da computação,,graduação,,,,feminino,desenvolvimento,,divulgação por email,unicamp,são paulo,checkedin
1000,campinas,brasil,engenharia elétrica,,mestrado,,intermediate,,feminino,"consultoria, engenharia, produtos e projetos","ucraniano, espanhol",amigos,unicamp,são paulo,confirmed
1001,paulínia,brasil,,icaro,ensino médio,intermediate,basic,,feminino,técnico em programação,,escola,,são paulo,checkedin
1002,campinas,,ciências sociais,,graduação,basic,intermediate,,feminino,pesquisa,,amigo,unicamp,são paulo,confirmed
1003,itatiba,brasil,administração,,graduação,intermediate,basic,,masculino,"marketing, pesquisa",espanhol,amigo,unicamp,são paulo,checkedin
1004,,,estatística,,graduação,,,,feminino,"consultoria, financeiro",,facebook,unicamp,,confirmed
1005,paulínia,brasil,,,ensino fundamental,intermediate,,tecnico em informática,feminino,social,,escola,,são paulo,checkedin
1006,,,administração,,graduação,basic,advanced,excel avançado,feminino,"financeiro, recursos humanos",,facebook,puccamp,,confirmed
1007,poços de caldas,brasil,engenharia química,mars,graduação,intermediate,intermediate,,feminino,qualidade,,facebbok,universidade federal de alfenas,minas gerais,checkedin
1008,campinas,brasil,engenharia de computação,boston consulting group,graduação,advanced,advanced,green belt - rl associados,masculino,consultoria,francês iniciante,e-mail,unicamp,são paulo,checkedin
1009,campinas,,engenharia de alimentos,anvisa,graduação,basic,basic,nenhum,feminino,pesquisa,,amigo,unicamp,são paulo,checkedin
1010,,brasil,engenharia química,,graduação,,,,masculino,pesquisa,,facebook,unicamp,,checkedin
1011,campinas,brasil,psicologia,,graduação,advanced,advanced,,feminino,"pesquisa, psicologia",italiano básico e espanhol intermediário,amigo,unip,são paulo,confirmed
1012,,,engenharia de computação,,graduação,,,,masculino,outro,,facebook,unicamp,,confirmed
1013,são paulo,brasil,engenharia mecânica,,graduação,advanced,advanced,"excel intermediário e avançado, inglês (6 anos), matlab , senai (oficinas e desenho assistido por computador) , macroeconomia (eua), contabilidade (gmf), economia (itaú unibanco)",masculino,"consultoria, financeiro, projetos, melhoria contínua , businees intelligence","espanhol (avançado), português (nativo)",amigo,unicamp,são paulo,confirmed
1014,campinas,brasil,engenharia civil,itaú-unibanco,,advanced,intermediate,,masculino,"consultoria, construtoras, financeiro",,facebook,unicamp,são paulo,confirmed
1015,são paulo,brasil,ciências econômicas,multinacional,graduação,advanced,advanced,"curso de iinglês, curso de excel",feminino,"consultoria, financeiro, logística",espanhol avançado,facebook,unicamp,são paulo,confirmed
1016,campinas,brasil,curso superior em tecnologia em automação industrial,ems,graduação,basic,basic,"empreendedorismo, gestão de meio ambiente",masculino,"t.i., instrumentação e engenharia",,amigo,ifsp - piracicaba,são paulo,checkedin
1017,hortolândia,brasil,licenciatura em letras,1993,ensino fundamental,advanced,,,feminino,"pesquisa, rh",espanhol intermediário,facebook,unicamp,são paulo,confirmed
1018,campinas,brasil,física,microsolft,doutorado,intermediate,intermediate,cousera,masculino,pesquisa,,email,unicamp,são paulo,checkedin
1019,campinas,brasil,matemática,,graduação,intermediate,intermediate,bacharel em matemática aplicada e computacional - unicamp,masculino,"consultoria, engenharia, financeiro, logística",,e-mail,unicamp,são paulo,confirmed
1020,,,engenharia agrícola,agrosmart s.a.,graduação,,,,masculino,"engenharia, consultoria",,amigo,unicamp,,checkedin
1021,,,química tecnológica,,graduação,,,,feminino,indústria,,email,unicamp,,checkedin
1022,campo limpo paulista,brasil,engenharia de computação,,,basic,intermediate,,feminino,tecnologia da informação (ti),,amigo,faculdade anhanguera,são paulo,checkedin
1023,hortolândia,brasil,química tecnológica,"natura, dow, ems, p&g, cnpem, brasken, petrobrás, ge, rhódia, ambev, medley, nestle, raízen.",graduação,advanced,intermediate,"natação, música, dança",feminino,pesquisa; desenvolvimento; análises.,alemão - iniciante,amigos,unicamp,são paulo,checkedin
1024,paulínia,brasil,psicologia,,graduação,basic,basic,"recrutamento e seleção, inteligência emocional",feminino,"rh , clínica",,facebook,faculdade anhanguera - campinas,são paulo,confirmed
1025,,,administração,,graduação,,,,feminino,consultoria,,redes sociais,unicamp,,checkedin
1026,são paulo,brasil,engenharia de computação,warner bros.,graduação,,,,feminino,"marketing, financeiro, desenvolvimento, consultoria, administração",,unicamp,unicamp,são paulo,checkedin
1027,campinas,brasil,química tecnológica,natura,graduação,,,,masculino,p&d,,e-mail,unicamp,são paulo,checkedin
1028,,,licenciatura em física,,graduação,,,,masculino,educação e tecnologia,,facebook,unicamp,,checkedin
1029,campinas,brasil,psicologia,google,graduação,advanced,advanced,,feminino,recursos humanos,,facebook,puccamp,são paulo,confirmed
1030,santa bárbara d'oeste,brasil,engenharia mecânica,,graduação,advanced,intermediate,,masculino,"desenvolvimento de produto, projeto, pesquisa e desenvolvimento, engenharia de produto, energia, aeronáutica, máquinas térmicas.",alemão,"e-mail, facebook, amigo.",unicamp,são paulo,checkedin
1031,,,ciências biológicas,,graduação,,,,outro,pesquisa,,amigo,unicamp,,confirmed
1032,campinas,brasil,engenharia agrícola,,graduação,intermediate,intermediate,,feminino,"consultoria, financeiro, negócios",espanhol avançado,facebook,unicamp,são paulo,checkedin
1033,campinas,brasil,licenciatura em matemática,sr.,ensino fundamental,intermediate,advanced,"diversos, nas áreas da educação, ciência, tecnologia e matemática",masculino,"educação, ciência, tecnologia, matemática, formação de professores","html, css, php",amigo,univesp,são paulo,confirmed
1034,são paulo,brasil,engenharia civil,"raizen, itau, caterpillar, microsoft, salesforce",graduação,advanced,advanced,,feminino,"consultoria, engenharia, construçao, banco de dados",,"facebook, amigos",unicamp,são paulo,checkedin
1035,campinas,brasil,estatística,rstudio.inc,graduação,intermediate,intermediate,r programming - datacamp,feminino,"software, financeiro, consultoria.",japonês básico,amigo,unicamp,são paulo,checkedin
1036,campinas,brasil,administração,,graduação,advanced,basic,"intercâmbio (explo at yale), edição de vídeo  (adobe premier), inglês  (cna e bolsa na cultura inglesa), feminismo brasileiro (universidade emancipa), programa horizontes em rádio comunitária.",feminino,"pesquisa, turismo/intercâmbio, relações humanas","inglês ( avançado - 104 no toefl), francês e espanhol básicos",facebook,unicamp,são paulo,confirmed
1037,,,engenharia química,,graduação,,,,masculino,"consultoria, p&d",,facebook,unicamp,,checkedin
1038,,afeganistão,design,,graduação,advanced,,,masculino,startup,,email,unicamp,,checkedin
1039,hortolândia,brasil,engenharia ambiental,,graduação,basic,basic,,masculino,"meio ambiente, engenharia, sustentabilidade.",,facebook,esamc sp,são paulo,confirmed
1040,,brasil,ciências biológicas,,graduação,basic,basic,,feminino,"educação, tecnologia, sustentabilidade",mandarim básico,"facebook, amigos",unicamp,são paulo,checkedin
1041,paulínia,brasil,,,ensino médio,basic,basic,técnico de informática,masculino,engenharia,,escola,,são paulo,checkedin
1042,campinas,brasil,ciência da computação,eldorado,mestrado,intermediate,intermediate,,feminino,pesquisa,,amigo,unicamp,são paulo,confirmed
1043,campinas,brasil,engenharia agrícola,,graduação,advanced,advanced,,masculino,"consultoria, financeiro, projetos, marketing",espanhol - avançado,a talento acontece na universidade em que estudo,unicamp,são paulo,checkedin
1044,campinas,brasil,jornalismo,3m,graduação,intermediate,,times idiomas,masculino,"jornalismo, comunicação",,amigo,esamc,são paulo,confirmed
1045,campinas,brasil,ciências biológicas,,graduação,intermediate,basic,,feminino,"pesquisa, biomedicina, biotecnologia, microbiologia, biologia, sustentabilidade",,facebook,unicamp,são paulo,confirmed
1046,,,,,ensino médio,,,,masculino,informática,,escola,,,confirmed
1047,campinas,brasil,engenharia de controle e automação,,graduação,intermediate,intermediate,,masculino,"engenharia, consutoria.",espanhol básico,facebook,unicamp,são paulo,checkedin
1048,campinas,brasil,ciência da computação,motorola,graduação,intermediate,intermediate,eletricista de manutenção,masculino,desenvolvedor de software,,email institucional,unicamp,são paulo,checkedin
1049,campinas,brasil,administração,,graduação,intermediate,advanced,,feminino,"processos, qualidade",,facebook,unicamp,são paulo,checkedin
1050,,,ciência da computação,,graduação,,,,feminino,"tecnologia, processamento de linguagem",,unicamp,unicamp,,confirmed
1051,,,matemática aplicada e computacional,itaú,graduação,,,,feminino,"analista de dados, consultoria , pesquisa e educação.",,facebook,unicamp,,checkedin
1052,jundiaí,brasil,engenharia de alimentos,,graduação,intermediate,intermediate,,feminino,pesquisa e desenvolvimento,,facebook,unicamp,são paulo,checkedin
1053,campinas,brasil,engenharia de alimentos,tetra pak,graduação,advanced,intermediate,,feminino,"p&d, food service, consultoria",,faculdade,unicamp,são paulo,checkedin
1054,campinas,brasil,ciências biológicas,,graduação,,,,masculino,pesquisa e desenvolvimento,,facebook,unicamp,são paulo,checkedin
1055,campinas,brasil,licenciatura em matemática,,,intermediate,advanced,mestrado e doutorado em matemática,masculino,"matemática, ensino",,facebook,unesp,são paulo,checkedin
1056,campinas,brasil,engenharia civil,,ensino fundamental,intermediate,basic,,feminino,"pesquisa, consultoria.",,e-mail,unicamp,são paulo,confirmed
