,Cidade,País,Curso,Empresa dos sonhos,Educação,Nível de inglês,Nível de excel,Cursos extras,Gênero,Interesses,Outras línguas,Referência,Universidade,Estado,Situação
4389,,,engenharia de telecomunicações,,graduação,,,,masculino,tecnologia,,amigos,unicamp,,checkedin
4390,,,,,ensino médio,,,,masculino,acompanhante,,televisão,,,confirmed
4391,hortolândia,brasil,sistema de gestão da qualidade,,mba,advanced,advanced,"ferramentas de wcm, técnico em mecatrônica, bacharel em engenharia de automação e controle",masculino,"analista de processo, melhoria continua, engenheiro de processo, qualidade",espanhol basico,facebook,unicamp,são paulo,checkedin
4392,campinas,brasil,engenharia química,,graduação,intermediate,advanced,,masculino,"projetos, suprimentos, produção etc",,e-mail da faculdade,unicamp,são paulo,checkedin
4393,campinas,brasil,engenharia de computação,google,graduação,advanced,advanced,apple developer academy,masculino,"data science, computer vision, solutions engineering",alemão avançado,unicamp,unicamp,são paulo,checkedin
4394,,,biomedicina,,graduação,,,,feminino,estagio,,amigo,metrocamp,,checkedin
4395,,,engenharia de alimentos,,graduação,,,,feminino,engenharia,,facebook,unicamp,,confirmed
4396,,,biologia,,graduação,,,,masculino,biológicas,,divulgação do algodão doce,unicamp,,checkedin
4397,campinas,brasil,ciências biológicas,,graduação,,,,masculino,pesquisa,,facebook,unicamp,são paulo,checkedin
4398,,,segurança do trabalho,atras e dhl,graduação,,,,masculino,segurança do trabalho e engenharia elétrica,,google,puccamp,,confirmed
4399,campinas,brasil,ciências biológicas,,graduação,basic,basic,,masculino,biologicas,,amigo,unicamp,são paulo,checkedin
4400,valinhos,brasil,engenharia elétrica,,,intermediate,intermediate,mba - gestão empresarial na fgv (cursando),masculino,engenharia,,amigo,puccamp,são paulo,checkedin
4401,campinas,brasil,engenharia civil,caterpilar,graduação,advanced,advanced,técnico em geodesia e cartografia,masculino,pesquisa e inovação,espanhol,amigo,unicamp,são paulo,checkedin
4402,,,enfermagem,,graduação,,,,feminino,saude,,facebook,unicamp,,checkedin
4403,são paulo,brasil,enfermagem,,graduação,basic,,,feminino,pesquisa,,amigo,unicamp,são paulo,checkedin
4404,,,música,,graduação,,,,masculino,gestao de negócios,,amigo,unicamp,,checkedin
4405,,,,,ensino médio,,,,feminino,hospitalar,,amigo,,,checkedin
4406,,,geografia,,graduação,,,,masculino,"humanas, consultoria",,amigos,unicamp,,checkedin
4407,,,ciências biológicas,,graduação,,,,feminino,"biológicas, pesquisa",,amigos,unicamp,,checkedin
4408,,,geografia,,doutorado,,,,masculino,geografia humana,,edições anteriores,unicamp,,checkedin
4409,hortolândia,brasil,psicologia,cpfl,graduação,basic,basic,,feminino,administrativo,,g1,faculdade anhanguera - campinas,são paulo,checkedin
4410,,,,,ensino fundamental,,,,feminino,.,,unicamp,,,checkedin
4411,campinas,brasil,geologia,petrobrás,graduação,,,,masculino,pesquisa,,amigo,unicamp,são paulo,checkedin
4412,campinas,brasil,engenharia elétrica,,graduação,advanced,advanced,técnico em eletronica,masculino,engenharia elétrica,,unicamp,unicamp,são paulo,checkedin
4413,,,piloto,,graduação,,,,masculino,mecânica,,amigo,edapa,,checkedin
4414,campinas,brasil,farmácia,dow,graduação,advanced,intermediate,auxiliar de departamento pessoal,masculino,"pesquisa e desenvolvimento, garantia da qualidade, assuntos regulatórios,  processos, adminsitrativo",italiano intermediário; japonês básico,e-mail,unicamp,são paulo,checkedin
4415,,,engenharia de produção,,graduação,,,,feminino,consultoria,,mte e amigos,unicamp,,checkedin
4416,jaguariúna,brasil,arquitetura e urbanismo,contrutora,graduação,,intermediate,"vendas-2017, sketchup-internet, auto-cad-internet , revit- internet",masculino,"obra , projeto, acessoria",,jornal eptv,unifaj,são paulo,checkedin
4417,,,,p&g,ensino médio,,,,feminino,administracao,,amigo,,,checkedin
4418,,,,,ensino médio,,,,masculino,consultoria,,anuncio,,,checkedin
